batch_id	original_path	new_path	category	risk	references	verification	status	notes
20260727-docs-authority	docs/product-vision.md	docs/product/product-vision.md	current documentation	low	.claude/CLAUDE.md; docs/product-vision self; FOUNDATION peers	rg product-vision; git rev-parse :docs/product/product-vision.md	moved	Active product vision; regroup under docs/product/
20260727-docs-authority	docs/source-ownership.md	docs/product/source-ownership.md	current documentation	low	docs/refactor/AGENT_PROMPT.md; REPOSITORY_INDEX.md	rg source-ownership	moved	Capability disposition; keep current
20260727-docs-authority	docs/companion-journal.md	docs/guides/companion-journal.md	current documentation	low	sparse doc links	rg companion-journal	moved	Operator/product guide
20260727-docs-authority	docs/advanced-chat-setup.md	docs/guides/advanced-chat-setup.md	current documentation	low	may duplicate webui/docs/advanced-chat-setup.md — do not consolidate content	rg advanced-chat-setup	moved	Operator guide only; leave webui copy in place
20260727-docs-authority	docs/provider-registry.md	docs/guides/provider-registry.md	current documentation	low	sparse	rg provider-registry	moved	Operator guide
20260727-docs-authority	docs/architecture/decisions/README.md	docs/decisions/README.md	current documentation	medium	RUNTIME.md decisions/ links; ADR index	rg 'architecture/decisions'; open RUNTIME links	moved	Move ADR tree as a unit
20260727-docs-authority	docs/architecture/decisions/0001-subprocess-workers.md	docs/decisions/0001-subprocess-workers.md	current documentation	medium	decisions/README; RUNTIME	rg 0001-subprocess	moved	ADR unit
20260727-docs-authority	docs/architecture/decisions/0002-two-store-model.md	docs/decisions/0002-two-store-model.md	current documentation	medium	links to ../RUNTIME.md	rg 0002-two-store	moved	Repair relative RUNTIME link after move
20260727-docs-authority	docs/architecture/decisions/0003-read-only-means-no-write-back.md	docs/decisions/0003-read-only-means-no-write-back.md	current documentation	medium	ADR cross-links	rg 0003-read-only	moved	ADR unit
20260727-docs-authority	docs/architecture/decisions/0004-translator-layer.md	docs/decisions/0004-translator-layer.md	current documentation	medium	ADR cross-links	rg 0004-translator	moved	ADR unit
20260727-docs-authority	docs/architecture/decisions/0005-sse-streaming.md	docs/decisions/0005-sse-streaming.md	current documentation	medium	ADR cross-links	rg 0005-sse	moved	ADR unit
20260727-docs-authority	docs/architecture/ARES_SI_AUDIT.md	docs/history/ARES_SI_AUDIT.md	historical documentation	low	roadmap checklist; audit prose	rg ARES_SI_AUDIT	moved	Point-in-time audit 2026-07-20
20260727-docs-authority	docs/upstream-sync-2026-07-12.md	docs/history/upstream-sync-2026-07-12.md	historical documentation	low	webui/FORK_CHANGES.md	rg upstream-sync-2026	moved	Sync provenance; repair FORK_CHANGES link
20260727-docs-authority	docs/ares-today-dashboard-design-memo.md	docs/history/ares-today-dashboard-design-memo.md	historical documentation	low	self-marked historical	rg ares-today-dashboard	moved	Design provenance for Today dashboard
20260727-docs-authority	docs/si-disabled.md	TBR/20260727-docs-authority/docs/si-disabled.md	TBR candidate	low	REPOSITORY_INDEX classification only	rg si-disabled; TBR MANIFEST row	quarantined	Time-bound SI off switch notes; not current product truth
