batch_id	moved_at	original_path	tbr_path	reason	references_checked	verification	restore_command	status	notes
20260727-docs-authority	2026-07-26	docs/si-disabled.md	TBR/20260727-docs-authority/docs/si-disabled.md	Time-bound enabled/disabled status	Repository-wide exact-path scan	Documentation stale-path scan	git mv TBR/20260727-docs-authority/docs/si-disabled.md docs/si-disabled.md	quarantined	Contents preserved unchanged
20260727-docs-authority	2026-07-26	docs/architecture/MULTIAGENT_REFACTOR.md	TBR/20260727-docs-authority/docs/architecture/MULTIAGENT_REFACTOR.md	Conflicting architectural ownership proposal	Repository-wide exact-path scan	Documentation stale-path scan	git mv TBR/20260727-docs-authority/docs/architecture/MULTIAGENT_REFACTOR.md docs/architecture/MULTIAGENT_REFACTOR.md	quarantined	Contents preserved unchanged
20260727-docs-authority	2026-07-26	docs/roadmap/ARES_IMPLEMENTATION_ROADMAP.md	TBR/20260727-docs-authority/docs/roadmap/ARES_IMPLEMENTATION_ROADMAP.md	Stale implementation checklist	Repository-wide exact-path scan	Documentation stale-path scan	git mv TBR/20260727-docs-authority/docs/roadmap/ARES_IMPLEMENTATION_ROADMAP.md docs/roadmap/ARES_IMPLEMENTATION_ROADMAP.md	quarantined	Contents preserved unchanged
20260727-docs-authority	2026-07-26	docs/JAEGERAI-INTEGRATION.md	TBR/20260727-docs-authority/docs/JAEGERAI-INTEGRATION.md	Stale runtime status and private-layout assumptions	Repository-wide exact-path scan	Documentation stale-path scan	git mv TBR/20260727-docs-authority/docs/JAEGERAI-INTEGRATION.md docs/JAEGERAI-INTEGRATION.md	quarantined	Contents preserved unchanged
20260726-existing-attic	2026-07-26	attic/island-backdrop-legacy	TBR/20260726-existing-attic/attic/island-backdrop-legacy	Existing quarantined visual implementation	Source ownership guard and repository-wide path scan	Frontend focused tests	git mv TBR/20260726-existing-attic/attic/island-backdrop-legacy attic/island-backdrop-legacy	quarantined	Original relative directory preserved
20260727-docs-authority-p3	2026-07-27	.claude/ROADMAP.md	TBR/20260727-docs-authority-p3/.claude/ROADMAP.md	Time-bound migration gate / phase language; not product definition	agent read lists; docs/README authority	docs authority index	git mv TBR/20260727-docs-authority-p3/.claude/ROADMAP.md .claude/ROADMAP.md	quarantined	Pass 3 documentation authority
20260727-docs-authority-p3	2026-07-27	.claude/SPRINTS.md	TBR/20260727-docs-authority-p3/.claude/SPRINTS.md	Sprint log; not current architecture	agent read lists; docs/README authority	docs authority index	git mv TBR/20260727-docs-authority-p3/.claude/SPRINTS.md .claude/SPRINTS.md	quarantined	Pass 3 documentation authority
20260727-docs-authority-p3	2026-07-27	.claude/BUGS.md	TBR/20260727-docs-authority-p3/.claude/BUGS.md	Working bug list snapshot	agent read lists; docs/README authority	docs authority index	git mv TBR/20260727-docs-authority-p3/.claude/BUGS.md .claude/BUGS.md	quarantined	Pass 3 documentation authority
20260727-docs-authority-p3	2026-07-27	.claude/webui/ROADMAP.md	TBR/20260727-docs-authority-p3/.claude/webui/ROADMAP.md	WebUI roadmap pointer/status	agent read lists; docs/README authority	docs authority index	git mv TBR/20260727-docs-authority-p3/.claude/webui/ROADMAP.md .claude/webui/ROADMAP.md	quarantined	Pass 3 documentation authority
20260727-docs-authority-p3	2026-07-27	.claude/webui/SPRINTS.md	TBR/20260727-docs-authority-p3/.claude/webui/SPRINTS.md	WebUI sprint log	agent read lists; docs/README authority	docs authority index	git mv TBR/20260727-docs-authority-p3/.claude/webui/SPRINTS.md .claude/webui/SPRINTS.md	quarantined	Pass 3 documentation authority
20260727-docs-authority-p3	2026-07-27	.claude/webui/BUGS.md	TBR/20260727-docs-authority-p3/.claude/webui/BUGS.md	WebUI bug list snapshot	agent read lists; docs/README authority	docs authority index	git mv TBR/20260727-docs-authority-p3/.claude/webui/BUGS.md .claude/webui/BUGS.md	quarantined	Pass 3 documentation authority
20260727-docs-authority-p3	2026-07-27	.claude/PHASE3_MEMORY_AND_DELEGATION_PROPOSAL.md	TBR/20260727-docs-authority-p3/.claude/PHASE3_MEMORY_AND_DELEGATION_PROPOSAL.md	Unapproved proposal; conflicts with Companion ownership model if treated as current	agent read lists; docs/README authority	docs authority index	git mv TBR/20260727-docs-authority-p3/.claude/PHASE3_MEMORY_AND_DELEGATION_PROPOSAL.md .claude/PHASE3_MEMORY_AND_DELEGATION_PROPOSAL.md	quarantined	Pass 3 documentation authority
20260727-root-ops-tbr	2026-07-27	scripts	TBR/20260727-root-ops-tbr/scripts	Root ops helpers (si_doctor, smoke, talk); not required for product runtime	CI/docs scan	git status	git mv TBR/20260727-root-ops-tbr/scripts scripts	quarantined	First-principles root cleanup; TBR may be deleted after full test
20260727-root-ops-tbr	2026-07-27	tools	TBR/20260727-root-ops-tbr/tools	Standalone utilities (email assistant, etc.); ownership check relocated to .github/scripts	CI/docs scan	git status	git mv TBR/20260727-root-ops-tbr/tools tools	quarantined	First-principles root cleanup; TBR may be deleted after full test
20260727-root-ops-tbr	2026-07-27	config	TBR/20260727-root-ops-tbr/config	Example config samples only; not runtime config	CI/docs scan	git status	git mv TBR/20260727-root-ops-tbr/config config	quarantined	First-principles root cleanup; TBR may be deleted after full test
